,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Texans,Bengals,Chargers,49ers,Texans,Raiders,Dolphins,Lions,Rams,Panthers,Colts,Chiefs,Texans,Buccaneers,Titans,Browns,Browns,Cardinals
2,Panthers,Lions,Raiders,Dolphins,Saints,Lions,Rams,Rams,Lions,Broncos,Rams,Jaguars,Redskins,Titans,Browns,49ers,Giants,49ers
3,Lions,Texans,Cardinals,Browns,Titans,Browns,Falcons,Chiefs,Buccaneers,Bills,Vikings,Raiders,Jaguars,Jaguars,Chargers,Bears,Colts,Jets
4,Bills,Bears,Giants,Bears,Jets,Buccaneers,Raiders,Seahawks,Redskins,Bengals,Browns,Eagles,Browns,Raiders,Cowboys,Jaguars,Texans,Raiders
5,Chargers,Cowboys,Redskins,Buccaneers,Packers,Cardinals,Chiefs,Browns,Chiefs,Cardinals,Buccaneers,Lions,Raiders,Redskins,Jaguars,Rams,Broncos,Buccaneers
6,Cowboys,Cardinals,Lions,Titans,49ers,Redskins,Jets,Bengals,Seahawks,Browns,Redskins,Browns,Falcons,Jets,Ravens,Jets,Jets,Giants
7,Vikings,Jaguars,Browns,Raiders,Raiders,Vikings,49ers,Raiders,Browns,49ers,Jaguars,Cardinals,Buccaneers,Bears,49ers,Chargers,Buccaneers,Jaguars
8,Chiefs,Panthers,Falcons,Cardinals,Bills,Texans,Ravens,Jaguars,Raiders,Titans,Dolphins,Bills,Vikings,Falcons,Dolphins,Panthers,Bears,Lions
9,Jaguars,Vikings,Jaguars,Redskins,Lions,Dolphins,Bengals,Packers,Bills,Cowboys,Panthers,Jets,Bills,Giants,Buccaneers,Bengals,49ers,Bills
10,Bengals,Ravens,Texans,Lions,Cardinals,Falcons,Saints,49ers,Jaguars,Redskins,Bills,Titans,Lions,Rams,Giants,Bills,Raiders,Broncos
11,Colts,Seahawks,Steelers,Cowboys,Rams,49ers,Bills,Bills,Bears,Texans,Chiefs,Chargers,Titans,Vikings,Bears,Saints,Dolphins,Bengals
12,Cardinals,Rams,Jets,Giants,Browns,Bills,Broncos,Broncos,Dolphins,Vikings,Seahawks,Dolphins,Giants,Browns,Saints,Eagles,Bengals,Packers
13,Saints,Redskins,Bills,Texans,Ravens,Rams,Panthers,Redskins,49ers,Lions,Cardinals,Buccaneers,Rams,Saints,Eagles,Cardinals,Redskins,Dolphins
14,Titans,Bills,Bears,Panthers,Eagles,Panthers,Bears,Saints,Broncos,Rams,Cowboys,Panthers,Bears,Dolphins,Raiders,Vikings,Packers,Falcons
15,Giants,Chargers,Buccaneers,Chiefs,Falcons,Steelers,Lions,Texans,Giants,Dolphins,Eagles,Saints,Steelers,49ers,Rams,Colts,Cardinals,Redskins
16,Browns,Chiefs,49ers,Saints,Dolphins,Packers,Cardinals,Chargers,Titans,Jaguars,Jets,Rams,Cowboys,Texans,Lions,Ravens,Ravens,Panthers
17,Falcons,Saints,Bengals,Bengals,Vikings,Jaguars,Vikings,Jets,Panthers,Raiders,Raiders,Steelers,Ravens,Chargers,Falcons,Redskins,Chargers,Browns
18,Redskins,Dolphins,Saints,Vikings,Cowboys,Bengals,Texans,Bears,Steelers,Chargers,Chargers,Cowboys,Jets,Chiefs,Colts,Titans,Seahawks,Vikings
19,Broncos,Patriots,Vikings,Rams,Chargers,Titans,Eagles,Buccaneers,Falcons,Giants,Bears,Giants,Dolphins,Bills,Bills,Buccaneers,Cowboys,Titans
20,Seahawks,Broncos,Dolphins,Bills,Chiefs,Giants,Buccaneers,Cowboys,Texans,Buccaneers,Titans,Bears,Cardinals,Eagles,Jets,Broncos,Lions,Steelers
21,Buccaneers,Browns,Ravens,Jaguars,Patriots,Broncos,Redskins,Eagles,Bengals,Chiefs,Bengals,Bengals,Packers,Bengals,Redskins,Lions,Bills,Seahawks
22,Jets,Jets,Cowboys,Ravens,Redskins,Cowboys,Browns,Vikings,Patriots,Colts,Falcons,Redskins,Eagles,Steelers,Texans,Dolphins,Chiefs,Ravens
23,Raiders,Falcons,Seahawks,Seahawks,Buccaneers,Chiefs,Steelers,Patriots,Packers,Eagles,Lions,Vikings,Chiefs,Lions,Vikings,Giants,Rams,Texans
24,Ravens,Colts,Broncos,Packers,Bengals,Seahawks,Titans,Falcons,Eagles,Saints,Steelers,Colts,Bengals,Cardinals,Bengals,Raiders,Panthers,Bears
25,Dolphins,Giants,Packers,Broncos,Giants,Jets,Seahawks,Dolphins,Ravens,Seahawks,Broncos,Seahawks,Chargers,Panthers,Steelers,Texans,Titans,Eagles
26,Eagles,49ers,Rams,Jets,Bears,Eagles,Jaguars,Ravens,Cardinals,Falcons,Texans,Packers,Colts,Ravens,Seahawks,Seahawks,Falcons,Colts
27,49ers,Steelers,Titans,Falcons,Panthers,Saints,Chargers,Colts,Cowboys,Ravens,Saints,Texans,Saints,Cowboys,Packers,Chiefs,Saints,Cowboys
28,Packers,Titans,Eagles,Chargers,Jaguars,Patriots,Cowboys,Panthers,Chargers,Patriots,Packers,Broncos,Panthers,Broncos,Chiefs,Cowboys,Steelers,Chargers
29,Bears,Packers,Colts,Colts,Broncos,Ravens,Colts,Giants,Jets,Bears,Ravens,Patriots,Patriots,Colts,Patriots,Packers,Jaguars,Chiefs
30,Steelers,Eagles,Chiefs,Steelers,Colts,Chargers,Packers,Titans,Vikings,Jets,49ers,Falcons,49ers,Packers,Cardinals,Steelers,Vikings,Saints
31,Rams,Raiders,Panthers,Eagles,Seahawks,Bears,Patriots,Cardinals,Colts,Steelers,Patriots,49ers,Broncos,Seahawks,Panthers,Falcons,Patriots,Rams
